# v1, v2
3.084780442832750850e+05 3.323069563433460426e+05
3.084780442832750850e+05 3.379735626934862812e+05
3.084780442832750850e+05 3.445796255790643045e+05
3.084780442832750850e+05 3.543233535970587982e+05
3.084780442832750850e+05 3.650938979969694628e+05
3.084780442832750850e+05 3.821062302613641950e+05
3.084780442832750850e+05 4.126757400968873990e+05
3.084780442832750850e+05 4.961731702672978863e+05
