# w1neu, w2neu
1.920014956145313045e+05 2.061045988472989411e+05
1.920014956145313045e+05 2.094360998870964686e+05
1.920014956145313045e+05 2.133088246744809730e+05
1.920014956145313045e+05 2.189988121422450931e+05
1.920014956145313045e+05 2.252571195044772467e+05
1.920014956145313045e+05 2.350736521706966741e+05
1.920014956145313045e+05 2.524943774583626946e+05
1.920014956145313045e+05 2.985484217109382735e+05
