# v1neu, v2neu
3.015952440504322294e+05 3.259277537479495513e+05
3.015952440504322294e+05 3.317033561915426981e+05
3.015952440504322294e+05 3.384318333035674877e+05
3.015952440504322294e+05 3.483475654188957997e+05
3.015952440504322294e+05 3.592972888620606973e+05
3.015952440504322294e+05 3.765715850055022165e+05
3.015952440504322294e+05 4.075564425862008939e+05
3.015952440504322294e+05 4.919235736596757779e+05
