# w1, w2
1.963832223320152843e+05 2.115531789034647518e+05
1.963832223320152843e+05 2.151606525481877325e+05
1.963832223320152843e+05 2.193662027986503381e+05
1.963832223320152843e+05 2.255692527114776312e+05
1.963832223320152843e+05 2.324259942356236861e+05
1.963832223320152843e+05 2.432563813292242994e+05
1.963832223320152843e+05 2.627175357221036102e+05
1.963832223320152843e+05 3.158736507104683551e+05
